user_id,age,gender,device_type,ad_channel,time_spent,num_impressions,num_clicks,converted
1,56,Male,Mobile,Email,78.36408379398486,17,6,1
2,46,Female,Mobile,Display,132.35648108285028,22,7,0
3,32,Male,Desktop,Display,192.04489995048223,39,8,1
4,60,Male,Mobile,Social Media,80.81085166686542,41,6,0
5,25,Male,Mobile,Display,20.39459205004452,48,7,0
6,38,Male,Tablet,Email,8.018987640583466,18,5,1
7,56,Male,Desktop,Email,11.537062985633856,28,1,0
8,36,Female,Tablet,Display,7.463172566562051,13,0,0
9,40,Female,Tablet,Social Media,37.554741684573266,42,2,0
10,28,Male,Desktop,Social Media,75.64917079818831,1,8,1
11,28,Male,Desktop,Display,70.26034668377827,19,6,0
12,41,Male,Mobile,Search Engine,296.1049952830695,34,1,0
13,53,Female,Tablet,Search Engine,95.27180103663825,4,0,0
14,57,Female,Desktop,Search Engine,42.589131091022736,43,1,0
15,41,Male,Tablet,Search Engine,165.9409505294886,3,2,1
16,20,Male,Tablet,Display,258.09744934226495,41,5,0
17,39,Female,Desktop,Social Media,205.02781115236417,10,8,1
18,19,Male,Mobile,Email,92.34421629495785,28,7,0
19,41,Female,Tablet,Email,170.67676713847922,34,9,0
20,61,Female,Desktop,Display,215.8825123891207,39,8,0
21,47,Male,Mobile,Email,219.790825248484,47,7,0
22,55,Female,Tablet,Search Engine,201.62884431281822,19,6,1
23,19,Male,Desktop,Social Media,261.8890753088073,42,5,0
24,38,Male,Tablet,Display,261.68111021151077,46,7,0
25,50,Male,Desktop,Social Media,175.78628502506598,36,5,0
26,29,Male,Desktop,Display,131.80762888780762,43,1,0
27,39,Male,Tablet,Display,194.26323719170443,3,8,1
28,61,Male,Tablet,Display,246.3725404042866,23,8,0
29,42,Female,Desktop,Display,6.667370928149493,17,2,0
30,44,Female,Mobile,Social Media,297.6391176593811,7,8,1
31,59,Female,Tablet,Email,58.953662837113775,26,1,0
32,45,Female,Desktop,Display,143.723450769693,43,2,0
33,33,Male,Desktop,Search Engine,262.2487717786457,18,5,0
34,32,Female,Mobile,Display,71.38691771803882,46,3,0
35,64,Female,Mobile,Social Media,145.65459105061305,46,7,0
36,61,Female,Mobile,Display,44.111743153447854,6,0,0
37,20,Male,Tablet,Search Engine,121.54751598951681,31,5,0
38,54,Female,Desktop,Social Media,57.254959163935744,29,1,1
39,24,Male,Desktop,Display,112.27018588749131,9,5,1
40,38,Female,Desktop,Search Engine,115.17194395385299,35,0,0
41,26,Male,Mobile,Social Media,297.9853829315081,17,1,0
42,56,Male,Desktop,Display,298.4698436446128,12,8,0
43,35,Female,Tablet,Search Engine,38.861952204880666,36,5,0
44,21,Male,Mobile,Social Media,219.16078990186244,48,7,0
45,42,Male,Mobile,Display,20.26491650238484,24,6,0
46,31,Female,Mobile,Social Media,13.906644524470645,10,8,0
47,26,Female,Mobile,Search Engine,36.07349880226447,30,8,1
48,43,Female,Tablet,Display,289.81826881734054,29,3,0
49,19,Male,Desktop,Display,282.55474662893573,39,6,0
50,37,Male,Tablet,Display,62.208706982800734,10,4,1
51,45,Male,Desktop,Search Engine,52.6933389883449,39,6,1
52,64,Female,Tablet,Email,75.95785052220437,28,3,0
53,24,Male,Mobile,Display,157.08636325216693,18,9,0
54,61,Male,Mobile,Search Engine,173.0628664504459,41,0,0
55,25,Male,Tablet,Social Media,70.37006197963697,17,3,1
56,64,Male,Tablet,Social Media,228.20372248653385,11,9,1
57,52,Male,Desktop,Search Engine,96.31818497378198,1,2,1
58,31,Male,Tablet,Email,277.028741031176,17,8,0
59,34,Male,Tablet,Search Engine,198.73319840473553,36,4,0
60,53,Female,Desktop,Social Media,133.72360231956546,36,3,0
61,57,Female,Desktop,Social Media,238.02404050233937,46,7,0
62,21,Female,Desktop,Display,246.28481468376611,9,4,0
63,19,Male,Tablet,Email,90.69207365463838,45,2,0
64,23,Male,Desktop,Search Engine,105.21579043164488,28,1,0
65,59,Female,Mobile,Social Media,281.106770349938,48,7,0
66,21,Male,Mobile,Social Media,53.59860631716521,33,1,0
67,46,Female,Mobile,Social Media,17.43437300406559,3,7,1
68,35,Male,Tablet,Search Engine,138.946320169817,8,4,1
69,43,Male,Mobile,Search Engine,241.35692057187055,6,7,1
70,61,Female,Tablet,Email,232.64209136167,6,4,1
71,51,Female,Tablet,Display,276.2615355292856,29,0,0
72,27,Female,Mobile,Display,162.29419598886687,37,1,0
73,53,Female,Desktop,Display,34.51907811212733,12,5,1
74,31,Female,Tablet,Social Media,178.66324742912474,9,2,0
75,48,Male,Mobile,Display,234.62670623419743,41,7,0
76,32,Male,Tablet,Social Media,32.531795479598784,49,4,0
77,25,Male,Desktop,Email,55.93393332378898,19,2,0
78,31,Female,Desktop,Social Media,8.625745040922915,17,9,0
79,40,Female,Mobile,Email,180.12751093680907,48,6,0
80,57,Female,Tablet,Email,266.5866456240418,44,7,0
81,38,Female,Tablet,Display,202.84567822061936,32,3,0
82,33,Female,Tablet,Display,294.7018258393397,35,8,1
83,62,Female,Tablet,Social Media,23.59492748742966,14,5,0
84,35,Male,Mobile,Search Engine,271.3853201196914,49,0,0
85,64,Male,Desktop,Display,245.1501447790708,16,4,0
86,41,Male,Mobile,Display,97.70124854735396,21,4,0
87,43,Male,Tablet,Search Engine,292.19033279198925,12,6,1
88,42,Male,Tablet,Search Engine,89.94163571056744,24,6,0
89,62,Female,Desktop,Display,267.34489352932445,34,5,0
90,58,Female,Tablet,Search Engine,264.82083023688585,8,7,1
91,46,Female,Mobile,Social Media,228.50899689787687,44,1,0
92,32,Female,Mobile,Email,171.2237897747913,21,6,0
93,62,Female,Desktop,Email,40.40081113698198,48,9,0
94,18,Female,Mobile,Display,161.93166167646697,8,6,1
95,42,Male,Mobile,Display,110.25489541820569,28,3,0
96,24,Female,Mobile,Social Media,238.70402478082877,16,9,1
97,26,Female,Mobile,Search Engine,228.64811591656925,10,1,1
98,41,Female,Tablet,Display,273.63068967491853,15,3,0
99,18,Female,Mobile,Email,9.374897917353822,4,3,0
100,61,Male,Desktop,Social Media,243.6854489627986,26,5,0
101,25,Male,Desktop,Social Media,281.8463056717773,15,6,1
102,41,Female,Mobile,Search Engine,237.84363248690428,36,2,0
103,28,Male,Desktop,Display,43.40736566175818,32,9,0
104,34,Male,Mobile,Display,28.977335928061883,43,0,0
105,25,Female,Desktop,Social Media,11.14934574327174,38,2,1
106,52,Female,Desktop,Email,190.47984161928096,4,8,1
107,52,Female,Mobile,Display,190.75343229866675,41,0,0
108,50,Female,Mobile,Email,296.1395456943726,9,7,1
109,22,Female,Tablet,Social Media,122.42273636070824,35,1,0
110,59,Male,Mobile,Display,102.91235404476154,28,5,0
111,56,Female,Mobile,Email,189.20535351939577,37,2,0
112,58,Female,Tablet,Social Media,248.5545583897402,47,6,0
113,45,Female,Mobile,Email,281.3483151092855,9,1,0
114,24,Male,Mobile,Display,241.92162902281638,2,3,1
115,26,Female,Tablet,Search Engine,130.8688242816624,3,9,1
116,25,Female,Mobile,Email,192.29969941705892,44,8,1
117,29,Female,Mobile,Search Engine,257.6083013812545,48,5,0
118,51,Male,Tablet,Display,149.72985805196313,5,3,1
119,50,Female,Tablet,Search Engine,68.92255989309085,10,1,0
120,40,Female,Desktop,Social Media,55.068414725622524,28,9,0
121,41,Female,Mobile,Search Engine,5.046534650526735,15,8,0
122,54,Male,Desktop,Email,216.88020851947886,14,3,0
123,52,Female,Desktop,Email,37.7736766095672,46,8,0
124,61,Female,Tablet,Search Engine,76.93253441030242,23,1,0
125,57,Female,Mobile,Social Media,92.87351779922405,13,6,0
126,39,Male,Mobile,Display,170.31205874034666,16,4,1
127,44,Female,Tablet,Search Engine,122.39739680225193,30,7,1
128,52,Female,Desktop,Email,204.02882764683272,40,7,1
129,18,Female,Tablet,Email,21.4134045019673,8,3,0
130,52,Male,Mobile,Search Engine,41.56206230800964,17,3,0
131,54,Male,Tablet,Search Engine,152.26739354231367,30,7,0
132,64,Female,Mobile,Search Engine,104.40461241481479,17,2,0
133,31,Male,Desktop,Display,92.26494201165112,35,6,0
134,20,Male,Mobile,Email,24.773283316069204,1,7,1
135,18,Male,Desktop,Email,269.2371565506604,49,7,0
136,22,Female,Desktop,Email,209.08648290688998,24,9,1
137,43,Female,Mobile,Display,40.87735626179657,48,3,0
